127.0.0.1 - - [22/Dec/2024:20:53:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /Test/ HTTP/1.1" 200 11483
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /Test/images/egovframework/example/btn_bg_r.gif;jsessionid=307C919E87691B81479208A0FA77450A HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /Test/css/egovframework/sample.css;jsessionid=307C919E87691B81479208A0FA77450A HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /Test/images/egovframework/example/title_dot.gif;jsessionid=307C919E87691B81479208A0FA77450A HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /Test/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /Test/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /Test/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /Test/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /Test/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /Test/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [22/Dec/2024:20:53:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
